cross,reference,chr,start,end,crossovers,Unknown,Simple_repeat,SINE/tRNA,DNA/TcMar-Stowaway,DNA/MULE-MuDR,LTR/Copia,SINE,DNA/PIF-Harbinger,Low_complexity,DNA/hAT-Tip100,DNA/hAT-Ac,LINE/RTE-BovB,DNA/TcMar,DNA/hAT-Tag1,SINE/tRNA-RTE,LTR/Gypsy,Retroposon,DNA/CMC-EnSpm,DNA,LINE/L1,rRNA,SINE?,DNA/TcMar-Pogo,SINE/tRNA-Deu-RTE,LTR,RC/Helitron,snRNA,DNA/hAT-Charlie,DNA/TcMar-Tc1,LTR/Caulimovirus,LTR/ERV1,Satellite
lycopersicum_pimpinellifolium,lycopersicum,chr1,0,100000,0,25,21,3,8,6,14,1,3,7,4,2,10,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,100000,200000,0,18,53,0,8,8,6,0,7,13,3,3,10,1,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,200000,300000,1,21,34,7,6,6,3,4,1,7,16,3,11,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,300000,400000,1,20,55,0,3,14,6,1,5,14,13,10,20,0,1,1,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,400000,500000,1,30,48,7,6,7,5,3,6,13,9,5,9,0,1,1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,500000,600000,0,21,28,2,3,7,0,0,2,5,4,0,8,1,0,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,600000,700000,0,43,29,4,3,2,2,1,7,9,6,0,20,0,4,0,1,4,5,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,700000,800000,0,14,38,6,4,6,8,0,4,8,3,5,6,1,3,0,13,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,800000,900000,0,25,26,7,10,6,3,2,2,17,1,1,25,0,2,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,900000,1000000,1,19,28,6,5,7,13,1,5,6,9,1,11,0,0,0,2,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1000000,1100000,0,30,38,6,18,9,12,3,3,14,1,2,9,2,2,6,2,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1100000,1200000,2,73,47,0,10,17,7,4,1,7,17,0,10,0,2,1,4,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1200000,1300000,1,40,26,3,9,12,14,1,1,10,6,2,18,3,1,1,1,4,5,4,3,0,0,0,1,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,1300000,1400000,0,50,52,4,6,13,7,4,4,14,12,1,16,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
